,NGRAM_TFIDF_RF,DATA_LABEL,DATA_TYPE,WORD_TFIFD_RF,CHAR_NGRAM_TFIDF_RF,WC_RF,EXP,N
0,0.679245283018868,1629,SPEAKERS,0.6666666666666666,0.7142857142857143,0.7272727272727272,TB_INT,966
1,0.7777777777777777,1629,SPEAKERS,0.851063829787234,0.888888888888889,0.8333333333333334,TB_INT,966
2,0.875,1629,SPEAKERS,0.8936170212765957,0.8695652173913043,0.8936170212765957,TB_INT,966
3,0.923076923076923,1629,SPEAKERS,0.9795918367346939,0.9583333333333334,0.9795918367346939,TB_INT,966
4,0.851063829787234,1629,SPEAKERS,0.888888888888889,0.8571428571428571,0.8837209302325582,TB_INT,966
5,0.8679245283018867,1629,SPEAKERS,0.8695652173913043,0.7826086956521738,0.8571428571428572,TB_INT,966
6,0.8421052631578948,1629,SPEAKERS,0.8936170212765957,0.9387755102040817,0.9583333333333334,TB_INT,966
7,0.7037037037037038,1629,SPEAKERS,0.8333333333333334,0.8085106382978724,0.816326530612245,TB_INT,966
8,0.8846153846153847,1629,SPEAKERS,0.9361702127659574,0.8636363636363635,0.8979591836734694,TB_INT,966
9,0.8627450980392156,1629,SPEAKERS,0.8333333333333334,0.851063829787234,0.816326530612245,TB_INT,966
10,0.7916666666666667,1629,SPEAKERS,0.8837209302325583,0.8444444444444444,0.8837209302325583,TB_INT,966
11,0.8333333333333333,1629,SPEAKERS,0.7804878048780488,0.7999999999999999,0.8372093023255814,TB_INT,966
12,0.84,1629,SPEAKERS,0.8695652173913043,0.8636363636363636,0.8636363636363636,TB_INT,966
13,0.8214285714285715,1629,SPEAKERS,0.92,0.909090909090909,0.9166666666666666,TB_INT,966
14,0.8181818181818182,1629,SPEAKERS,0.7804878048780488,0.7692307692307693,0.7804878048780488,TB_INT,966
15,0.8163265306122449,1629,SPEAKERS,0.8444444444444444,0.8636363636363636,0.8444444444444444,TB_INT,966
16,0.8571428571428572,1629,SPEAKERS,0.8636363636363636,0.7999999999999999,0.8372093023255814,TB_INT,966
17,0.8979591836734695,1629,SPEAKERS,0.9333333333333332,0.8837209302325583,0.9565217391304348,TB_INT,966
18,0.9565217391304348,1629,SPEAKERS,0.9777777777777777,0.9545454545454545,0.9777777777777777,TB_INT,966
19,0.9333333333333332,1629,SPEAKERS,0.888888888888889,0.8837209302325583,0.8837209302325583,TB_INT,966
0,0.7272727272727273,1601,SPEAKERS,0.7857142857142857,0.7857142857142857,0.6666666666666666,TB_INT,667
1,0.7200000000000001,1601,SPEAKERS,0.8148148148148148,0.75,0.7692307692307692,TB_INT,667
2,0.9285714285714286,1601,SPEAKERS,0.896551724137931,0.9285714285714286,0.9285714285714286,TB_INT,667
3,0.8461538461538461,1601,SPEAKERS,0.8461538461538461,0.8461538461538461,0.8461538461538461,TB_INT,667
4,0.888888888888889,1601,SPEAKERS,0.9655172413793104,0.9285714285714286,0.9285714285714286,TB_INT,667
5,0.923076923076923,1601,SPEAKERS,0.923076923076923,0.923076923076923,0.923076923076923,TB_INT,667
6,0.9230769230769231,1601,SPEAKERS,0.9600000000000001,0.9600000000000001,0.9600000000000001,TB_INT,667
7,0.8799999999999999,1601,SPEAKERS,0.8799999999999999,0.8799999999999999,0.8461538461538461,TB_INT,667
8,0.6956521739130435,1601,SPEAKERS,0.6666666666666667,0.7272727272727274,0.6363636363636364,TB_INT,667
9,0.8333333333333333,1601,SPEAKERS,0.9166666666666666,0.9166666666666666,0.9166666666666666,TB_INT,667
10,0.8799999999999999,1601,SPEAKERS,0.7826086956521738,0.7826086956521738,0.8333333333333333,TB_INT,667
11,0.8461538461538461,1601,SPEAKERS,0.8333333333333333,0.8695652173913044,0.8333333333333333,TB_INT,667
12,0.7142857142857142,1601,SPEAKERS,0.8181818181818181,0.8181818181818181,0.761904761904762,TB_INT,667
13,0.8,1601,SPEAKERS,0.7826086956521738,0.7826086956521738,0.7500000000000001,TB_INT,667
14,0.962962962962963,1601,SPEAKERS,1.0,0.9230769230769231,0.888888888888889,TB_INT,667
15,0.9230769230769231,1601,SPEAKERS,0.8799999999999999,0.8799999999999999,0.8799999999999999,TB_INT,667
16,1.0,1601,SPEAKERS,1.0,1.0,1.0,TB_INT,667
17,0.6666666666666667,1601,SPEAKERS,0.5714285714285714,0.5714285714285714,0.6,TB_INT,667
18,0.7142857142857142,1601,SPEAKERS,0.7500000000000001,0.7692307692307693,0.7692307692307693,TB_INT,667
19,0.9600000000000001,1601,SPEAKERS,0.9600000000000001,0.9600000000000001,0.9600000000000001,TB_INT,667
0,0.851063829787234,1602,SPEAKERS,0.8571428571428571,0.7999999999999999,0.8095238095238095,TB_INT,1045
1,0.7999999999999999,1602,SPEAKERS,0.7906976744186046,0.8,0.7659574468085107,TB_INT,1045
2,0.7659574468085107,1602,SPEAKERS,0.8095238095238095,0.8095238095238095,0.8095238095238095,TB_INT,1045
3,0.9583333333333334,1602,SPEAKERS,0.9777777777777777,0.9565217391304348,0.9777777777777777,TB_INT,1045
4,0.9777777777777777,1602,SPEAKERS,0.9777777777777777,0.9777777777777777,0.9777777777777777,TB_INT,1045
5,0.84,1602,SPEAKERS,0.9047619047619047,0.85,0.9047619047619047,TB_INT,1045
6,0.8800000000000001,1602,SPEAKERS,0.8837209302325583,0.8571428571428571,0.8372093023255814,TB_INT,1045
7,0.7499999999999999,1602,SPEAKERS,0.7906976744186046,0.8181818181818182,0.8181818181818182,TB_INT,1045
8,0.6956521739130435,1602,SPEAKERS,0.7906976744186046,0.75,0.717948717948718,TB_INT,1045
