,DATA_TYPE,N,DATA_LABEL,NGRAM_TFIDF_RF,EXP,WORD_TFIFD_RF,CHAR_NGRAM_TFIDF_RF,WC_RF
17,SPEAKERS,623,1601,0.6086956521739131,TB_INT,0.5555555555555556,0.5263157894736842,0.5555555555555556
18,SPEAKERS,623,1601,0.5833333333333334,TB_INT,0.5,0.5,0.5384615384615384
19,SPEAKERS,623,1601,0.8148148148148148,TB_INT,0.9565217391304348,0.9565217391304348,0.9565217391304348
0,SPEAKERS,1045,1602,0.8181818181818182,TB_INT,0.8205128205128205,0.8372093023255814,0.85
1,SPEAKERS,1045,1602,0.76,TB_INT,0.7727272727272727,0.7555555555555555,0.8
2,SPEAKERS,1045,1602,0.7346938775510203,TB_INT,0.8372093023255814,0.8095238095238095,0.8095238095238095
3,SPEAKERS,1045,1602,0.9361702127659574,TB_INT,0.9777777777777777,1.0,0.9777777777777777
4,SPEAKERS,1045,1602,0.9565217391304348,TB_INT,0.9777777777777777,0.9777777777777777,0.9777777777777777
5,SPEAKERS,1045,1602,0.8936170212765957,TB_INT,0.8292682926829269,0.85,0.9047619047619047
6,SPEAKERS,1045,1602,0.8627450980392156,TB_INT,0.8636363636363636,0.8571428571428571,0.8636363636363636
7,SPEAKERS,1045,1602,0.8,TB_INT,0.7906976744186046,0.8444444444444444,0.8181818181818182
8,SPEAKERS,1045,1602,0.6808510638297872,TB_INT,0.7804878048780488,0.7317073170731708,0.717948717948718
9,SPEAKERS,1045,1602,0.8372093023255814,TB_INT,0.8636363636363636,0.8636363636363636,0.8636363636363636
10,SPEAKERS,1045,1602,0.8627450980392156,TB_INT,0.9545454545454545,0.9777777777777777,0.9565217391304348
11,SPEAKERS,1045,1602,0.85,TB_INT,0.878048780487805,0.9545454545454545,0.9333333333333332
12,SPEAKERS,1045,1602,0.6792452830188679,TB_INT,0.75,0.75,0.75
13,SPEAKERS,1045,1602,0.8235294117647057,TB_INT,0.888888888888889,0.909090909090909,0.9130434782608695
14,SPEAKERS,1045,1602,0.711864406779661,TB_INT,0.8837209302325582,0.8636363636363636,0.8636363636363636
15,SPEAKERS,1045,1602,0.7547169811320754,TB_INT,0.9090909090909091,0.8837209302325582,0.9090909090909091
