,WORD_TFIFD_RF,NGRAM_TFIDF_RF,CHAR_NGRAM_TFIDF_RF,WC_RF,DATA_LABEL,N,EXP,DATA_TYPE
1,0.8148148148148148,0.7200000000000001,0.6956521739130435,0.7857142857142857,1601,667,TB_NONTB,SPEAKERS
2,0.888888888888889,0.8750000000000001,0.9285714285714286,0.888888888888889,1601,667,TB_NONTB,SPEAKERS
3,0.8461538461538461,0.8461538461538461,0.888888888888889,0.8461538461538461,1601,667,TB_NONTB,SPEAKERS
4,0.9655172413793104,0.888888888888889,0.9285714285714286,0.9333333333333333,1601,667,TB_NONTB,SPEAKERS
5,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,1601,667,TB_NONTB,SPEAKERS
6,0.9600000000000001,0.9600000000000001,0.9600000000000001,0.9600000000000001,1601,667,TB_NONTB,SPEAKERS
7,0.8799999999999999,0.8799999999999999,0.9230769230769231,0.8461538461538461,1601,667,TB_NONTB,SPEAKERS
8,0.6363636363636364,0.7272727272727274,0.6666666666666667,0.6363636363636364,1601,667,TB_NONTB,SPEAKERS
9,0.9166666666666666,0.8695652173913044,0.9166666666666666,0.9166666666666666,1601,667,TB_NONTB,SPEAKERS
10,0.8333333333333333,0.8333333333333333,0.7826086956521738,0.7826086956521738,1601,667,TB_NONTB,SPEAKERS
11,0.8333333333333333,0.9166666666666666,0.8695652173913044,0.8799999999999999,1601,667,TB_NONTB,SPEAKERS
12,0.8181818181818181,0.7142857142857142,0.7272727272727274,0.761904761904762,1601,667,TB_NONTB,SPEAKERS
13,0.7500000000000001,0.7692307692307693,0.7500000000000001,0.7692307692307693,1601,667,TB_NONTB,SPEAKERS
14,0.9230769230769231,0.9230769230769231,0.9166666666666666,0.9230769230769231,1601,667,TB_NONTB,SPEAKERS
15,0.8799999999999999,0.9230769230769231,0.8799999999999999,0.9230769230769231,1601,667,TB_NONTB,SPEAKERS
16,1.0,1.0,1.0,1.0,1601,667,TB_NONTB,SPEAKERS
17,0.6,0.6666666666666667,0.5714285714285714,0.6,1601,667,TB_NONTB,SPEAKERS
18,0.7692307692307693,0.7857142857142856,0.6666666666666667,0.7407407407407408,1601,667,TB_NONTB,SPEAKERS
19,0.9600000000000001,0.9600000000000001,0.9600000000000001,0.9600000000000001,1601,667,TB_NONTB,SPEAKERS
0,0.878048780487805,0.8,0.8292682926829269,0.878048780487805,1602,1045,TB_NONTB,SPEAKERS
1,0.7906976744186046,0.7916666666666667,0.7391304347826085,0.7659574468085107,1602,1045,TB_NONTB,SPEAKERS
2,0.8095238095238095,0.7346938775510203,0.8372093023255814,0.8095238095238095,1602,1045,TB_NONTB,SPEAKERS
3,0.9777777777777777,0.9361702127659574,0.9787234042553191,0.9565217391304348,1602,1045,TB_NONTB,SPEAKERS
4,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,1602,1045,TB_NONTB,SPEAKERS
5,0.85,0.84,0.85,0.8260869565217391,1602,1045,TB_NONTB,SPEAKERS
6,0.8837209302325583,0.8301886792452831,0.8181818181818182,0.8695652173913043,1602,1045,TB_NONTB,SPEAKERS
7,0.8181818181818182,0.782608695652174,0.8181818181818182,0.8,1602,1045,TB_NONTB,SPEAKERS
8,0.7317073170731708,0.711111111111111,0.75,0.75,1602,1045,TB_NONTB,SPEAKERS
9,0.8636363636363636,0.8695652173913043,0.8636363636363636,0.8444444444444444,1602,1045,TB_NONTB,SPEAKERS
10,0.9545454545454545,0.8800000000000001,0.9333333333333332,0.9545454545454545,1602,1045,TB_NONTB,SPEAKERS
11,0.9047619047619047,0.8292682926829269,0.9047619047619047,0.8837209302325583,1602,1045,TB_NONTB,SPEAKERS
12,0.717948717948718,0.6538461538461539,0.7000000000000001,0.7000000000000001,1602,1045,TB_NONTB,SPEAKERS
13,0.9523809523809523,0.7916666666666666,0.9,0.9302325581395349,1602,1045,TB_NONTB,SPEAKERS
14,0.8292682926829269,0.7727272727272727,0.8571428571428572,0.8372093023255814,1602,1045,TB_NONTB,SPEAKERS
15,0.8837209302325582,0.7547169811320754,0.8837209302325582,0.8260869565217391,1602,1045,TB_NONTB,SPEAKERS
16,0.85,0.8636363636363636,0.85,0.9047619047619048,1602,1045,TB_NONTB,SPEAKERS
17,0.8372093023255814,0.8571428571428572,0.8095238095238095,0.8372093023255814,1602,1045,TB_NONTB,SPEAKERS
18,0.8421052631578948,0.8717948717948718,0.7777777777777778,0.8421052631578948,1602,1045,TB_NONTB,SPEAKERS
19,0.85,0.8095238095238095,0.8292682926829269,0.8292682926829269,1602,1045,TB_NONTB,SPEAKERS
0,0.9230769230769231,0.8461538461538461,0.8799999999999999,0.8571428571428571,1638,572,TB_NONTB,SPEAKERS
1,0.9166666666666666,0.8695652173913044,0.8695652173913044,0.8799999999999999,1638,572,TB_NONTB,SPEAKERS
2,0.8799999999999999,0.8799999999999999,0.8799999999999999,0.8799999999999999,1638,572,TB_NONTB,SPEAKERS
3,0.9166666666666666,0.9166666666666666,0.8695652173913044,0.9166666666666666,1638,572,TB_NONTB,SPEAKERS
4,0.8181818181818181,0.8181818181818181,0.761904761904762,0.8181818181818181,1638,572,TB_NONTB,SPEAKERS
5,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,1638,572,TB_NONTB,SPEAKERS
6,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,1638,572,TB_NONTB,SPEAKERS
7,0.9600000000000001,0.9600000000000001,0.9600000000000001,0.9600000000000001,1638,572,TB_NONTB,SPEAKERS
8,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.896551724137931,1638,572,TB_NONTB,SPEAKERS
9,1.0,1.0,1.0,1.0,1638,572,TB_NONTB,SPEAKERS
10,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8799999999999999,1638,572,TB_NONTB,SPEAKERS
11,0.8333333333333333,0.8333333333333333,0.7826086956521738,0.9230769230769231,1638,572,TB_NONTB,SPEAKERS
12,0.7826086956521738,0.8333333333333333,0.7272727272727274,0.8,1638,572,TB_NONTB,SPEAKERS
13,0.9600000000000001,0.9600000000000001,0.9600000000000001,0.9600000000000001,1638,572,TB_NONTB,SPEAKERS
14,0.8571428571428571,0.9090909090909091,0.8,0.8181818181818182,1638,572,TB_NONTB,SPEAKERS
15,0.7000000000000001,0.7000000000000001,0.761904761904762,0.6956521739130435,1638,572,TB_NONTB,SPEAKERS
16,0.8695652173913043,0.7407407407407408,0.8695652173913043,0.8695652173913043,1638,572,TB_NONTB,SPEAKERS
17,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.8695652173913043,1638,572,TB_NONTB,SPEAKERS
18,0.8799999999999999,0.8799999999999999,0.8799999999999999,0.8799999999999999,1638,572,TB_NONTB,SPEAKERS
19,0.9090909090909091,0.9090909090909091,0.8695652173913043,0.9090909090909091,1638,572,TB_NONTB,SPEAKERS
0,0.888888888888889,0.7499999999999999,0.7499999999999999,0.7499999999999999,1676,197,TB_NONTB,SPEAKERS
1,1.0,1.0,1.0,1.0,1676,197,TB_NONTB,SPEAKERS
2,0.888888888888889,0.5714285714285715,0.7499999999999999,0.888888888888889,1676,197,TB_NONTB,SPEAKERS
3,1.0,1.0,1.0,1.0,1676,197,TB_NONTB,SPEAKERS
4,0.7499999999999999,0.7499999999999999,0.7499999999999999,0.7499999999999999,1676,197,TB_NONTB,SPEAKERS
5,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.8333333333333333,1676,197,TB_NONTB,SPEAKERS
6,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.8000000000000002,1676,197,TB_NONTB,SPEAKERS
7,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,1676,197,TB_NONTB,SPEAKERS
8,0.8000000000000002,0.888888888888889,0.888888888888889,0.888888888888889,1676,197,TB_NONTB,SPEAKERS
9,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,1676,197,TB_NONTB,SPEAKERS
10,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,1676,197,TB_NONTB,SPEAKERS
11,0.7499999999999999,0.7499999999999999,0.7499999999999999,0.7499999999999999,1676,197,TB_NONTB,SPEAKERS
12,0.6666666666666665,0.6666666666666665,0.6666666666666665,0.6666666666666665,1676,197,TB_NONTB,SPEAKERS
13,0.8000000000000002,0.888888888888889,0.888888888888889,0.888888888888889,1676,197,TB_NONTB,SPEAKERS
14,1.0,1.0,1.0,1.0,1676,197,TB_NONTB,SPEAKERS
15,1.0,1.0,1.0,1.0,1676,197,TB_NONTB,SPEAKERS
16,1.0,1.0,1.0,1.0,1676,197,TB_NONTB,SPEAKERS
17,1.0,1.0,1.0,1.0,1676,197,TB_NONTB,SPEAKERS
18,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,1676,197,TB_NONTB,SPEAKERS
