,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,349,got it,295,it got it,138
1,it,320,it got,139,got it got,137
2,i,232,i got,101,i got it,55
3,have,79,i have,72,got it i,36
4,done,53,it i,39,then i have,22
5,then,47,okay i,30,done got it,21
6,okay,45,then i,28,okay i got,18
7,that,37,done got,21,got it done,17
8,like,35,it okay,19,got it okay,17
9,with,33,it done,17,it i got,17
10,you,21,got that,13,i got that,12
11,down,20,upside down,13,it okay i,11
12,to,19,i think,11,it done got,9
13,dog,18,done i,9,okay i have,8
14,think,13,that i,8,i have person,7
15,right,13,have person,7,got it ok,7
16,upside,13,it ok,7,got it oh,7
17,oh,13,think i,7,i think i,7
18,sailboat,12,it oh,7,think i got,7
19,an,12,have like,6,that i got,6
