,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,412,got it,222,got it got,86
1,got,325,i have,202,it got it,86
2,it,261,i got,131,then i have,66
3,have,214,it got,87,i got it,41
4,then,142,then i,77,got it i,27
5,like,102,okay i,47,okay i got,25
6,with,81,upside down,43,got it okay,20
7,okay,71,it i,31,okay i have,18
8,down,71,flying bird,26,it okay i,13
9,triangle,61,it okay,22,it i got,12
10,one,53,triangle chest,19,loch ness monster,11
11,that,52,on one,17,on one foot,11
12,person,49,bending backwards,16,i have like,11
13,on,44,one is,15,an upside down,11
14,upside,43,i think,14,got it done,10
15,is,42,have like,13,got it oh,9
16,going,42,i dont,13,i have this,9
17,done,40,looks like,12,it i have,9
18,weird,36,loch ness,11,i dont know,9
19,flying,35,one foot,11,i got that,9
