,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,203,i have,92,okay i have,48
1,have,102,okay i,49,ok i have,25
2,i,101,got it,42,got it okay,21
3,with,95,upside down,32,it okay i,18
4,okay,74,ok i,25,ok my first,12
5,it,63,my first,24,my first one,11
6,down,53,it okay,21,first one is,10
7,ok,47,one is,20,my first ones,10
8,like,47,with square,17,i have guy,9
9,got,43,arrow pointing,14,then upside down,9
10,guy,39,first one,14,got it ok,9
11,first,36,down then,12,with house on,8
12,one,35,ok my,12,house on it,8
13,upside,32,boat with,12,okay my first,8
14,square,30,guy with,12,i have boat,7
15,sailboat,30,flying bird,12,i have arrow,7
16,is,30,dog with,12,boat with house,7
17,dog,29,with two,11,dog with square,7
18,my,29,first ones,11,with square body,6
19,arrow,28,have guy,9,guy with square,6
