,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,258,ive got,126,right ive got,28
1,got,213,upside down,62,all right ive,22
2,like,135,one is,42,last one is,21
3,with,132,all right,34,then upside down,15
4,ive,126,i got,31,got upside down,12
5,one,102,last one,29,then last one,12
6,down,94,right ive,28,ive got like,11
7,right,86,kind of,25,then ive got,10
8,triangle,76,flying bird,20,then second one,9
9,in,74,got like,19,in last one,9
10,on,72,with triangle,18,ive got upside,9
11,is,65,then last,16,bird with triangle,9
12,first,65,second one,15,with triangle wings,9
13,upside,62,road runner,15,right side up,8
14,i,56,then upside,15,lady in dress,8
15,weird,52,third one,14,upside down flamingo,8
16,square,50,on right,14,flying bird with,8
17,last,49,with like,14,third one is,8
18,thing,48,on left,13,um ive got,8
19,looking,47,bird with,13,guy holding triangle,7
