,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,470,got it,217,got it got,92
1,got,419,i got,213,it got it,91
2,it,257,i have,172,got it i,54
3,have,190,it got,92,then i got,38
4,then,124,upside down,77,i got it,36
5,down,96,then i,67,it i got,29
6,upside,78,it i,58,then i have,22
7,one,72,yeah i,23,think i got,18
8,with,71,looks like,22,i got this,17
9,triangle,61,one is,21,it i have,17
10,like,48,think i,20,yeah i got,14
11,is,46,i think,19,i think i,13
12,on,45,got this,18,loch ness monster,12
13,that,43,holding triangle,17,i have upside,10
14,to,42,all right,14,have upside down,10
15,guy,40,loch ness,13,all right i,9
16,yeah,36,i dont,12,i have guy,9
17,dog,32,ness monster,12,so i got,9
18,this,31,third one,11,standing on one,9
19,you,30,on one,11,got it alright,8
