,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,243,got it,210,got it got,108
1,it,228,it got,111,it got it,107
2,then,133,i have,74,got it i,34
3,i,116,one is,47,it i have,28
4,have,77,upside down,46,i got it,18
5,one,66,it i,35,loch ness monster,12
6,is,65,i got,29,third one is,12
7,down,56,third one,16,first one is,12
8,like,54,okay i,16,got it okay,12
9,with,52,first one,13,okay i have,9
10,upside,47,loch ness,12,it okay i,9
11,triangle,38,ness monster,12,second one is,9
12,in,32,yep got,12,yep got it,8
13,guy,31,second one,12,got it yep,8
14,on,31,it okay,12,it yep got,7
15,okay,28,holding triangle,9,then upside down,7
16,thing,27,with two,9,gotcha got it,6
17,its,27,it yep,8,got it alright,6
18,boat,26,looking thing,8,then i have,6
19,person,21,up then,7,fourth one is,6
