,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,175,got it,139,got it got,98
1,it,142,it got,98,it got it,95
2,gotcha,26,i got,16,got it gotcha,12
3,i,25,gotcha got,13,gotcha got it,10
4,then,20,it gotcha,12,i got it,8
5,like,17,got you,10,got you got,7
6,you,13,ive got,9,you got it,6
7,guy,10,you got,8,it gotcha got,6
8,in,10,gotcha gotcha,7,got it i,5
9,ive,9,it i,6,gotcha gotcha got,4
10,with,9,got got,6,it gotcha gotcha,4
11,right,9,or something,5,it ive got,4
12,one,8,it ive,4,got it ive,4
13,triangle,8,upside down,4,all right i,4
14,down,7,done got,4,arrow to right,3
15,is,7,right i,4,right i got,3
16,turkey,7,all right,4,it i got,3
17,looking,7,looking up,3,it got you,3
18,or,7,rubber ducky,3,done got it,3
19,done,6,to right,3,gotcha got you,3
