,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,281,i have,114,okay i have,19
1,i,184,upside down,64,third one is,18
2,one,131,one is,59,out of it,15
3,have,120,i got,41,first one is,14
4,with,120,got it,33,so i have,14
5,like,106,third one,30,second one is,12
6,got,103,okay i,23,then upside down,10
7,is,91,so i,23,i dont know,10
8,down,89,with two,22,i have guy,10
9,it,89,second one,22,i have boat,9
10,on,65,first one,20,so i got,9
11,upside,64,last one,19,i have like,8
12,triangle,63,out of,18,last one is,8
13,its,58,looks like,18,coming out of,8
14,in,54,coming out,16,okay so i,8
15,boat,44,looking thing,16,upside down flamingo,8
16,dog,43,of it,15,loch ness monster,8
17,guy,43,rocket ship,13,got it i,8
18,of,42,on its,13,then third one,7
19,okay,41,boat then,12,then second one,7
