,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,it,20,got it,18,got it got,10
1,got,19,it got,10,it got it,10
2,i,10,i have,7,gotcha got it,3
3,then,7,gotcha got,3,got it gotcha,3
4,have,7,okay i,3,okay i have,3
5,gotcha,4,it gotcha,3,got it i,3
6,with,4,it i,3,it okay i,2
7,one,3,then sideways,2,got it okay,2
8,okay,3,flamingo then,2,it gotcha got,2
9,down,2,upside down,2,have stingray okay,1
10,boat,2,it okay,2,i have stingray,1
11,guy,2,thing weird,1,stingray okay i,1
12,sideways,2,dragon or,1,monster then i,1
13,flamingo,2,boat with,1,sea monster then,1
14,upside,2,have boat,1,have sea monster,1
15,doing,2,stingray okay,1,i have sea,1
16,its,2,have stingray,1,wings i have,1
17,on,2,then i,1,two wings i,1
18,out,2,monster then,1,with two wings,1
19,stingray,1,sea monster,1,then i have,1
