,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,153,got it,85,got it got,15
1,got,121,i have,83,you repeat those,14
2,it,113,flying bird,33,it got it,14
3,have,87,i got,31,got it i,14
4,with,71,upside down,27,can you repeat,12
5,like,59,loch ness,19,so i have,11
6,person,51,looks like,18,it i have,11
7,down,44,you repeat,18,i got it,11
8,flying,42,can you,18,repeat those please,9
9,you,42,it got,16,shark with box,7
10,bird,39,it i,15,on its head,6
11,to,37,so i,14,got it okay,6
12,then,36,repeat those,14,duck flying bird,6
13,dog,34,with two,13,i have person,6
14,so,33,okay so,10,with box on,6
15,head,33,those please,9,it looks like,6
16,is,32,weird shapes,9,okay so i,5
17,its,32,out of,9,i have dog,5
18,lady,31,handkerchief lady,8,think i got,5
19,triangle,31,person with,8,sorry can you,5
