,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,56,i got,21,last one is,4
1,got,32,i have,16,see i got,4
2,then,27,upside down,12,then last one,4
3,have,18,flying bird,8,all right i,3
4,like,15,one is,8,upside down duck,3
5,one,15,last one,6,then i have,3
6,down,14,on his,5,an upside down,3
7,is,13,looks like,5,i have like,3
8,flying,12,then i,5,lets see i,3
9,upside,12,have like,4,right i have,3
10,flamingo,11,then last,4,flamingo flying bird,2
11,bird,11,see i,4,on his stomach,2
12,guy,11,down duck,3,laying on his,2
13,of,10,lets call,3,i got boat,2
14,his,9,right i,3,little upside down,2
15,sideways,9,third one,3,i got woman,2
16,you,9,kind of,3,third one is,2
17,it,9,boat then,3,sideways upside down,2
18,boat,9,all right,3,holding out something,2
19,duck,8,got it,3,upside down flamingo,2
