,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,38,got it,31,it got it,9
1,it,33,i got,11,got it got,9
2,i,23,it got,9,got it i,5
3,okay,7,upside down,6,got it okay,5
4,down,7,it i,6,okay got it,4
5,with,7,it okay,5,think i got,4
6,dog,6,think i,4,i got it,4
7,flamingo,6,i think,4,i think i,4
8,upside,6,okay got,4,lady upside down,2
9,then,5,ok i,3,i gots ram,2
10,ram,4,i have,3,ok i think,2
11,fish,4,open mouth,2,it okay got,2
12,sailboat,4,dog fish,2,upside down flamingo,2
13,think,4,i gots,2,it i think,2
14,flying,3,flying bird,2,bird dragon turtle,1
15,or,3,down flamingo,2,with fat snout,1
16,boat,3,gots ram,2,dog with fat,1
17,head,3,looks like,2,down dog with,1
18,shark,3,lady upside,2,facing down dog,1
19,have,3,sail boat,2,dog facing down,1
