,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,238,got it,156,got it got,62
1,it,194,i have,80,it got it,61
2,got,193,it got,63,first one is,26
3,i,151,one is,55,i got it,21
4,is,92,i got,44,got it i,20
5,one,89,upside down,40,got it okay,15
6,have,88,first one,28,last one is,11
7,with,85,it i,21,it i have,11
8,like,81,last one,19,okay i have,10
9,down,60,it okay,15,then upside down,10
10,triangle,49,my first,14,my first one,9
11,upside,40,it has,13,it has like,8
12,dog,39,dog with,13,got it ok,8
13,first,39,with two,13,then last one,8
14,my,36,okay i,12,it first one,8
15,on,34,third is,12,got it first,8
16,its,31,looks like,11,it i got,7
17,okay,30,then last,11,my last one,7
18,sailboat,28,second one,11,i have upside,7
19,last,28,two triangles,10,all right i,7
