,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,88,i have,49,then i have,20
1,i,75,one is,33,first one is,19
2,have,49,then i,22,my first one,11
3,one,47,upside down,21,i dont know,7
4,is,46,got it,20,i got it,6
5,like,39,first one,20,got it my,5
6,it,35,my first,11,it got it,5
7,my,35,i got,10,my second one,4
8,with,34,i dont,7,i have like,4
9,down,30,okay i,7,out of it,4
10,got,27,dont know,7,okay i have,4
11,first,21,my next,6,next one is,4
12,upside,21,person with,6,my next one,4
13,person,18,it got,6,got it okay,3
14,triangle,17,looks like,6,then weird looking,3
15,on,14,boat then,6,upside down boat,3
16,boat,13,second one,5,okay i got,3
17,its,12,with two,5,second one is,3
18,or,11,laying down,5,it i have,3
19,sideways,11,it my,5,one is vase,3
