,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,208,got it,157,got it got,70
1,it,183,it got,72,it got it,67
2,then,144,one is,70,third one is,20
3,one,109,upside down,41,second one is,19
4,is,79,i got,40,first one is,18
5,i,68,third one,28,got it i,14
6,down,57,first one,26,last one is,12
7,with,53,second one,24,out of it,12
8,triangle,44,i have,24,then last one,11
9,upside,41,so i,20,got it first,11
10,third,36,last one,20,got it yep,11
11,last,35,then last,16,so i got,10
12,first,34,it i,15,so i have,10
13,square,33,looking thing,15,gotcha got it,10
14,second,32,out of,15,got it okay,9
15,on,30,of it,14,i got it,9
16,like,30,last ones,13,it i got,9
17,its,29,it first,11,got it so,9
18,sailboat,28,gotcha got,11,got upside down,9
19,ones,27,it yep,11,then third one,8
