,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,259,ive got,160,loch ness monster,29
1,ive,160,upside down,57,ive got this,23
2,then,156,i have,51,bird with tail,22
3,i,131,i got,47,then i have,17
4,with,122,got this,40,okay ive got,17
5,down,96,loch ness,31,i got this,16
6,this,95,ness monster,29,fish swimming down,14
7,bird,91,with tail,28,so i got,13
8,like,87,bird with,28,right side up,11
9,have,64,fish swimming,24,an upside down,11
10,it,61,flying bird,22,so ive got,11
11,up,59,then i,21,okay so i,10
12,upside,57,this weird,21,with two feet,9
13,to,54,got it,20,fish swimming up,8
14,guy,52,bird flying,18,bird flying up,8
15,an,51,christmas tree,18,duck with two,8
16,flying,51,okay ive,17,then ive got,8
17,is,50,so i,17,half christmas tree,8
18,sailboat,49,with two,16,ive got ram,7
19,boat,48,okay so,16,right ive got,7
