,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,135,one is,44,first one is,32
1,is,56,first one,33,got it i,10
2,one,53,i got,25,then i have,10
3,with,52,got it,23,loch ness monster,7
4,got,51,upside down,21,got it first,7
5,i,43,i have,18,all right i,6
6,first,37,dog with,13,my first one,6
7,down,29,with triangle,10,last one is,6
8,dog,25,then i,10,right i got,6
9,it,25,it i,10,it first one,6
10,upside,21,then dog,9,it i got,6
11,have,20,last one,8,then upside down,6
12,triangle,18,ness monster,7,one is weird,5
13,right,18,loch ness,7,then last one,5
14,in,16,all right,7,is weird looking,5
15,sailboat,16,with two,7,upside down guy,5
16,guy,15,it first,7,then dog with,5
17,weird,15,my first,7,down guy with,4
18,on,15,guy with,6,is upside down,4
19,my,13,then upside,6,lady in dress,4
