,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,it,202,got it,198,got it got,137
1,got,199,it got,137,it got it,137
2,i,52,i have,32,got it i,20
3,have,34,it i,20,got it okay,18
4,okay,20,it okay,18,okay got it,17
5,then,12,okay got,17,it okay got,15
6,guy,11,i got,13,it i have,14
7,to,8,it ok,5,i got it,12
8,like,8,ok got,4,got it ok,5
9,with,7,have guy,4,then i have,4
10,sailboat,6,then i,4,it ok got,4
11,tree,6,to left,3,ok got it,4
12,body,5,think i,3,i have guy,4
13,up,5,spread apart,3,legs spread apart,3
14,ok,5,legs spread,3,his legs spread,3
15,bowl,4,his legs,3,it i got,3
16,legs,4,christmas tree,3,i think i,2
17,one,4,palm tree,3,think i got,2
18,in,4,speed boat,2,okay i have,2
19,flamingo,4,running upward,2,it okay i,2
