,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,210,got it,194,it got it,123
1,it,207,it got,125,got it got,122
2,one,39,one is,29,got it gotcha,17
3,then,38,i got,20,gotcha got it,16
4,yep,34,it gotcha,17,got it yep,16
5,i,32,upside down,17,i got it,12
6,is,30,gotcha got,16,yep got it,11
7,gotcha,29,it yep,16,first one is,10
8,down,25,yep got,14,it gotcha got,9
9,with,19,first one,12,got it i,8
10,upside,17,second one,10,second one is,8
11,first,14,i have,10,third one is,8
12,last,13,third one,9,out of it,6
13,of,13,yep yep,9,it yep got,6
14,third,13,it i,8,got it first,6
15,square,12,of it,7,got it okay,6
16,second,12,last ones,7,so i have,5
17,ones,12,with square,6,my first one,5
18,sailboat,12,it okay,6,it yep yep,5
19,its,11,out of,6,it i got,5
