,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,216,got it,204,got it got,144
1,it,213,it got,145,it got it,140
2,i,52,i got,23,i got it,19
3,have,13,it i,19,got it i,19
4,think,11,i have,11,it i have,11
5,you,10,i think,9,i think i,8
6,up,7,think i,9,think i got,8
7,that,7,flying bird,6,it i think,4
8,sailboat,6,got you,4,got it okay,4
9,or,6,it okay,4,it got you,3
10,bird,6,yeah i,3,got it ok,3
11,flying,6,done got,3,gotcha got it,3
12,to,6,it ok,3,got it yeah,2
13,with,6,gotcha got,3,done got it,2
14,duck,5,ok i,3,it okay i,2
15,then,5,it yeah,2,it could be,2
16,at,5,i dont,2,yeah i got,2
17,okay,5,okay i,2,i dont know,2
18,on,5,now that,2,got it it,2
19,yeah,5,at it,2,okay got it,2
