,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,270,i have,195,got it i,22
1,have,200,got it,79,it i have,21
2,got,145,upside down,49,loch ness monster,16
3,then,126,i got,39,then i have,16
4,it,116,flying bird,37,got it got,14
5,with,99,looks like,26,okay i have,14
6,down,74,it i,24,i have guy,12
7,triangle,73,okay i,23,it looks like,10
8,like,69,loch ness,21,it got it,10
9,guy,69,rocket ship,21,an upside down,9
10,one,68,then i,18,i got it,8
11,dog,52,ness monster,16,big flying bird,8
12,upside,49,it got,14,i have an,7
13,bird,48,to left,13,half christmas tree,6
14,okay,48,third one,13,third one is,6
15,sailboat,47,one is,13,right side up,6
16,flying,42,have guy,12,i have ram,6
17,boat,37,with its,11,i have triangle,6
18,an,37,it looks,10,flying bird with,5
19,up,35,last one,9,with its mouth,5
