,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,it,92,got it,86,it got it,67
1,got,88,it got,67,got it got,65
2,i,43,i have,31,got it i,16
3,have,31,it i,16,it i have,10
4,then,19,then i,6,then i have,6
5,like,12,i got,5,i got it,4
6,down,11,looks like,4,down then i,3
7,with,9,sailboat with,4,an upside down,3
8,an,8,down then,4,have palm tree,3
9,sailboat,7,upside down,4,it looks like,3
10,one,7,birthday cake,3,i have palm,3
11,on,7,i dont,3,i have whale,2
12,of,5,going down,3,i have an,2
13,tree,5,it looks,3,it i dont,2
14,thing,5,palm tree,3,i have sailboat,2
15,out,4,have palm,3,it i got,2
16,um,4,an upside,3,speedboat going down,2
17,sideways,4,i think,2,sailboat speedboat going,2
18,looks,4,think i,2,it i think,2
19,upside,4,have sailboat,2,think i got,2
