,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,220,got it,106,got it got,35
1,then,208,i got,98,all right i,32
2,got,202,i have,79,it got it,28
3,it,124,all right,54,i got it,25
4,have,82,upside down,40,okay i got,17
5,all,74,it got,35,right i got,17
6,right,70,right i,33,then i have,14
7,down,62,then its,27,right i have,14
8,like,56,okay i,27,got it okay,13
9,one,55,then i,18,all right so,13
10,its,54,so i,18,yup yup yup,13
11,okay,53,looks like,17,so i got,12
12,triangle,51,yup yup,15,got it all,12
13,with,45,last one,14,it all right,12
14,you,42,i think,13,then upside down,10
15,to,41,right so,13,okay i have,9
16,that,40,it okay,13,got it ok,8
17,upside,40,it all,12,i think i,8
18,of,35,first one,12,i have all,8
19,so,34,in dress,11,then last one,8
