,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,107,got it,106,got it got,68
1,it,107,it got,68,it got it,68
2,i,33,i got,22,i got it,21
3,then,15,it i,16,got it i,16
4,okay,13,it okay,11,got it okay,11
5,have,7,i have,7,it i got,9
6,boat,6,okay i,7,okay i got,6
7,has,6,okay got,5,it okay i,6
8,like,6,it ok,4,okay got it,5
9,ok,4,then boat,3,it i have,5
10,seal,3,ok i,3,got it ok,4
11,its,3,has like,3,it okay got,4
12,triangle,3,boat has,2,it ok i,3
13,yeah,3,have seal,2,yeah got it,2
14,facing,2,yeah got,2,it yeah got,2
15,sail,2,it yeah,2,got it yeah,2
16,big,2,boat with,2,i have seal,2
17,right,2,one big,1,ok i got,2
18,with,2,big sail,1,want to sales,1
19,arrow,2,sail has,1,to sales one,1
