,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,372,i got,229,then i got,26
1,i,349,upside down,66,see i got,12
2,then,186,then i,38,okay i got,11
3,down,116,flying bird,33,i got dog,9
4,one,94,looks like,31,then i have,9
5,it,92,got it,25,down i got,9
6,boat,77,lets see,20,it i got,8
7,dog,76,okay i,17,got it i,8
8,triangle,71,last one,16,i got house,8
9,upside,66,i have,16,i got crab,8
10,sideways,66,got dog,16,lets see i,8
11,guy,59,sea monster,15,on their knees,7
12,flamingo,57,third one,15,i got an,7
13,fish,56,i gots,14,right side up,7
14,that,56,first one,14,i got fish,7
15,flying,52,triangle diamond,13,it looks like,7
16,man,52,got boat,13,got upside down,6
17,like,51,see i,12,sailboat i got,6
18,sailboat,49,sea serpent,12,upside down sailboat,6
19,bird,46,laying down,12,i got guy,6
