,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,255,i have,157,it got it,56
1,got,189,got it,140,got it got,56
2,have,165,it got,56,then i have,29
3,it,164,i got,55,got it i,28
4,then,108,upside down,39,it i have,22
5,like,65,it i,32,i got it,16
6,down,63,then i,31,i have dog,10
7,with,57,flying bird,18,an upside down,8
8,triangle,48,looks like,17,i have guy,8
9,guy,46,okay i,13,all right i,7
10,right,42,all right,12,i think i,7
11,upside,39,i think,12,right side up,7
12,one,39,going to,11,i have like,7
13,is,32,right i,10,i dont know,7
14,to,29,right side,10,think i got,6
15,that,29,have dog,10,got it okay,6
16,its,28,think i,9,i have an,6
17,okay,27,loch ness,9,okay i have,6
18,on,27,i dont,9,loch ness monster,5
19,in,26,an upside,8,have dog with,5
