,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,is,120,one is,51,first one is,34
1,then,92,i have,46,my first one,23
2,i,92,first one,40,last one is,11
3,one,88,upside down,39,then last one,9
4,down,56,third is,24,lady in dress,8
5,have,56,my first,23,alright my first,7
6,with,52,last one,23,then third one,6
7,first,48,second is,18,last one was,6
8,in,43,i got,16,is weird looking,6
9,got,42,looks like,11,is upside down,5
10,boat,41,can you,9,i have guy,5
11,upside,39,in dress,9,i have sailboat,5
12,on,38,with two,9,can you repeat,5
13,third,37,christmas tree,9,loch ness monster,5
14,triangle,37,lady in,9,one is weird,4
15,my,35,then last,9,on their knees,4
16,second,35,sail boat,8,it looks like,4
17,like,31,on left,8,okay so i,4
18,last,30,flying bird,8,duck flying bird,4
19,its,25,ive got,8,can you say,4
