,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,241,ive got,115,right ive got,21
1,then,240,upside down,52,last one is,20
2,like,126,got it,52,all right ive,19
3,with,116,one is,41,got it ive,16
4,ive,115,all right,32,it ive got,16
5,one,98,i got,31,then upside down,11
6,down,80,last one,27,then last one,11
7,right,78,kind of,23,then ive got,10
8,in,69,right ive,21,ive got like,10
9,triangle,66,got like,18,then second one,9
10,it,66,flying bird,17,got upside down,9
11,on,65,it ive,16,um ive got,8
12,is,65,with triangle,15,third one is,8
13,first,60,second one,15,in last one,8
14,i,55,then last,14,lady in dress,8
15,upside,52,third one,13,it all right,8
16,weird,47,on right,13,got it all,8
17,guy,46,then like,13,got it got,7
18,last,44,road runner,13,ive got upside,7
19,square,44,in dress,12,bird with triangle,7
