,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,37,i have,22,then i have,5
1,then,26,i got,9,first one is,4
2,have,24,upside down,6,so i got,3
3,with,16,first one,6,all right so,3
4,like,15,then i,6,with long tail,3
5,got,12,one is,5,very first one,3
6,one,12,all right,5,with arm going,2
7,down,9,in dress,4,all right i,2
8,guy,9,so i,4,okay so i,2
9,triangle,8,okay i,3,okay i have,2
10,is,7,blah blah,3,guy laying down,2
11,right,7,guy laying,3,i have this,2
12,in,7,with long,3,woman in dress,2
13,first,7,long tail,3,one is like,2
14,his,6,right so,3,spread apart guy,2
15,okay,6,very first,3,one is guy,2
16,upside,6,then monster,3,i have seal,2
17,walking,5,second one,3,legs spread apart,2
18,bird,5,flying bird,3,down legs spread,2
19,so,5,is like,3,upside down legs,2
