,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,it,62,got it,59,it got it,26
1,got,59,it got,26,got it got,26
2,with,21,on its,9,on its hind,5
3,on,19,hind legs,7,its hind legs,5
4,then,16,upside down,6,i got it,4
5,its,14,its hind,5,on its side,4
6,down,13,i got,4,okay i got,3
7,i,9,triangle body,4,standing on its,2
8,triangle,9,with two,4,seal got it,2
9,one,9,on right,4,two triangles on,2
10,boat,8,its side,4,out of it,2
11,legs,8,bird flying,3,taken out of,2
12,right,7,okay i,3,got it speedboat,2
13,house,7,out of,3,hind legs facing,2
14,bird,7,one is,2,on either side,2
15,hind,7,sailboat got,2,triangles on either,2
16,square,6,palm tree,2,it yeah i,2
17,is,6,ness monster,2,sailboat got it,2
18,of,6,loch ness,2,triangle body running,2
19,side,6,last one,2,got it guy,2
