,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,48,ive got,13,right ive got,6
1,of,21,upside down,12,all right ive,6
2,one,20,kind of,10,last one is,4
3,with,20,one is,9,one is kind,3
4,like,19,all right,7,boat with tower,3
5,got,17,right ive,6,lady in dress,3
6,on,17,holding triangle,6,then birthday cake,3
7,in,16,then last,5,comin out of,3
8,its,14,out of,5,string of triangles,3
9,is,14,birthday cake,5,on its side,3
10,down,13,first one,5,with tower on,3
11,ive,13,comin out,4,then last one,3
12,upside,12,last one,4,guy holding triangle,3
13,triangle,12,is kind,3,is kind of,3
14,right,11,looking thing,3,one is like,3
15,kind,10,lady in,3,weird like house,2
16,it,8,in dress,3,rabbit comin out,2
17,out,8,of triangles,3,kind of weird,2
18,bottom,8,second one,3,kind of pointing,2
19,first,8,fetal position,3,of pointing up,2
