,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,293,got it,265,got it got,160
1,it,279,it got,162,it got it,158
2,i,109,i got,54,i got it,39
3,have,28,it i,34,got it i,34
4,then,24,i have,24,it i got,13
5,okay,22,upside down,13,got it okay,11
6,down,21,it okay,12,i think i,10
7,bird,16,i think,12,it i have,10
8,with,15,think i,10,think i got,10
9,done,13,okay i,9,okay got it,8
10,think,13,okay got,8,got it ok,7
11,upside,13,it ok,7,okay i got,7
12,flying,12,bird flying,7,done got it,6
13,of,12,all right,6,it okay got,4
14,its,12,done got,6,it ok i,4
15,one,12,loch ness,6,an upside down,4
16,that,11,ive got,6,it i think,4
17,crow,10,flying bird,6,it okay i,4
18,all,10,ok i,5,bird got it,4
19,dog,10,ness monster,4,got it thats,4
