,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,one,178,one is,125,first one is,59
1,is,167,first one,68,my first one,30
2,then,130,got it,48,last one is,24
3,first,71,last one,37,it got it,22
4,got,71,upside down,37,third one is,21
5,it,71,second one,34,got it got,19
6,my,63,my first,30,then i have,16
7,with,54,i have,26,second one is,16
8,second,54,third one,24,then last one,15
9,down,53,it got,23,is upside down,13
10,i,48,then last,18,my last one,11
11,last,48,then i,16,one is upside,10
12,third,42,third is,15,one is triangle,9
13,triangle,38,i got,15,my third is,7
14,upside,37,second is,15,it first one,7
15,like,36,looks like,14,got it first,7
16,in,31,is upside,13,one is sideways,6
17,sideways,30,my last,12,one is dog,6
18,dog,28,is triangle,10,got it my,6
19,have,28,weird looking,10,then my last,6
