,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,394,got it,272,got it got,143
1,it,310,it got,148,it got it,134
2,i,149,i got,96,got it i,26
3,then,59,it i,28,got it okay,25
4,okay,50,okay got,28,okay got it,24
5,down,40,it okay,26,it i got,18
6,that,30,upside down,22,i got it,18
7,dog,28,okay i,15,it okay got,12
8,fish,23,got that,13,okay i got,11
9,triangle,23,then i,12,it okay i,11
10,upside,23,ok got,10,then i got,9
11,boat,20,looks like,9,ok got it,8
12,flamingo,20,flying bird,8,i got that,7
13,flying,19,lets see,8,got it ok,6
14,ok,18,i have,7,got that okay,6
15,was,17,that okay,6,got it yeah,5
16,with,17,it ok,6,dog got it,5
17,up,17,dog got,6,flamingo got it,5
18,this,17,ok i,6,loch ness monster,4
19,sideways,17,it was,5,sailboat got it,4
