,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,it,286,got it,261,got it got,121
1,got,273,i have,166,it got it,121
2,i,220,it got,121,got it i,48
3,have,174,it i,50,it i have,39
4,then,120,okay i,37,then i have,31
5,like,99,then i,35,got it okay,31
6,okay,81,i got,33,okay i have,30
7,with,77,it okay,32,i got it,30
8,guy,52,flying bird,24,it okay i,16
9,going,44,upside down,19,okay got it,16
10,triangle,37,okay got,16,loch ness monster,14
11,down,36,going to,15,got it ok,11
12,sailboat,35,to left,15,i have an,10
13,to,35,loch ness,15,i have guy,9
14,its,32,ness monster,14,going to left,9
15,one,32,looks like,14,i have person,8
16,is,29,it ok,12,it i got,7
17,on,29,kind of,12,it ok i,7
18,of,29,to right,11,it okay got,7
19,an,28,ok i,10,going to right,6
