,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,758,i got,336,then i got,80
1,got,382,i have,313,i got this,48
2,have,339,then i,132,then i have,42
3,then,275,upside down,130,loch ness monster,40
4,down,164,got this,50,so i got,19
5,with,158,looks like,45,all right i,17
6,one,136,loch ness,42,have upside down,15
7,upside,132,ness monster,40,i have upside,14
8,triangle,116,one is,35,standing on one,13
9,like,100,all right,29,i have guy,13
10,is,91,flying bird,28,got upside down,13
11,to,82,holding triangle,27,on one foot,13
12,it,78,with two,26,third one is,13
13,guy,77,first one,25,i have sailboat,12
14,this,76,got it,24,lady in dress,12
15,that,72,alright i,23,i got upside,12
16,on,72,right i,21,it looks like,12
17,right,71,rubber ducky,20,with two feet,12
18,flying,66,third one,20,i have flying,11
19,in,64,i dont,20,alright i got,11
