,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,90,got it,60,it got it,26
1,got,87,i have,40,got it got,25
2,it,77,it got,26,got it i,11
3,have,42,i got,25,i got it,10
4,then,23,upside down,15,i have flying,5
5,guy,22,it i,13,think i got,5
6,down,21,flying bird,10,loch ness monster,5
7,triangle,20,i think,6,have flying bird,5
8,flying,18,think i,6,it i have,4
9,with,17,got that,5,it i think,4
10,upside,16,okay i,5,kneeling holding triangle,3
11,one,14,ness monster,5,i think i,3
12,is,14,loch ness,5,got it okay,3
13,okay,13,have flying,5,it i got,3
14,bird,12,holding triangle,5,guy kneeling holding,3
15,flamingo,12,kneeling holding,4,flying bird then,3
16,that,11,i dont,4,that got it,3
17,think,10,guy kneeling,4,got that got,3
18,holding,10,triangle man,4,okay i have,3
19,dog,9,looks like,4,i got that,3
