,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,244,got it,176,got it got,93
1,it,187,it got,93,it got it,89
2,then,123,i got,58,got it i,23
3,i,101,upside down,27,it i got,20
4,with,45,it i,25,got it okay,13
5,down,41,i have,21,so i got,10
6,one,41,one is,15,i got it,8
7,like,28,so i,15,first one is,8
8,upside,27,it okay,13,got it ok,7
9,triangle,26,then i,10,okay i have,6
10,have,24,ive got,9,got upside down,6
11,square,24,with square,8,then upside down,6
12,is,23,kind of,8,okay got it,5
13,of,22,sailboat then,8,then second one,5
14,so,22,first one,8,guy holding triangle,5
15,dog,21,okay i,7,loch ness monster,5
16,on,20,second one,7,okay so i,5
17,its,20,it ok,7,it okay so,5
18,right,19,holding triangle,7,upside down sailboat,5
19,to,19,duck with,7,it okay i,4
