,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,136,i have,27,loch ness monster,6
1,got,61,upside down,27,then snake then,5
2,i,59,i got,21,then upside down,5
3,one,50,got it,15,so i got,5
4,with,44,one is,12,then last one,4
5,like,42,first one,11,so i have,4
6,down,39,looking thing,10,then third one,4
7,it,38,last one,9,first one is,4
8,have,31,so i,9,got it got,4
9,triangle,30,ive got,9,i dont know,4
10,upside,27,rocket ship,8,right i got,4
11,in,19,it has,8,then second one,4
12,right,19,second one,8,has like triangle,3
13,its,19,turkey then,7,third one is,3
14,boat,18,third one,7,got upside down,3
15,is,18,arrow pointing,7,upside down flamingo,3
16,on,17,then last,7,it got it,3
17,turkey,17,snake then,7,two triangles as,3
18,of,17,boat then,6,then last ones,3
19,arrow,16,with two,6,lady in dress,3
