,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,64,got it,56,got it got,31
1,it,63,it got,31,it got it,30
2,i,41,one is,21,i got it,11
3,then,39,i have,19,got it i,10
4,one,27,i got,17,then i have,10
5,is,26,upside down,11,first one is,7
6,like,22,then i,10,my next one,5
7,with,21,it i,10,it i have,5
8,have,21,first one,9,next one is,5
9,my,19,my first,6,it i got,5
10,on,13,my next,6,last one is,4
11,down,13,okay i,5,got it my,4
12,first,12,next one,5,okay i got,4
13,triangle,12,then like,5,my first one,4
14,upside,11,have like,4,got it okay,4
15,person,10,last one,4,one is giant,3
16,of,7,with two,4,it my first,3
17,okay,7,it my,4,it okay i,3
18,or,7,down then,4,my last one,3
19,left,7,it okay,4,lady in dress,3
