,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,22,got it,21,got it got,9
1,it,22,i have,13,got it i,9
2,i,18,it i,9,it i have,9
3,then,18,it got,9,it got it,9
4,have,13,i got,4,i got it,3
5,like,6,okay i,3,diamond got it,2
6,with,5,upside down,3,guy upside down,2
7,triangle,5,out of,2,loch ness monster,2
8,thing,5,guy upside,2,okay i got,2
9,down,4,with triangle,2,then loch ness,2
10,dog,4,ness monster,2,i have like,2
11,okay,4,then loch,2,i have speedboat,2
12,upside,3,diamond got,2,then diamond got,1
13,person,3,loch ness,2,think i got,1
14,guy,3,have speedboat,2,i got got,1
15,in,3,have like,2,got got it,1
16,of,3,bridge then,2,i have bird,1
17,um,3,of regular,1,have bird fly,1
18,his,2,sideways road,1,bird fly big,1
19,ness,2,bird fly,1,you repeat that,1
