,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,246,got it,230,it got it,154
1,it,237,it got,154,got it got,152
2,i,98,i got,38,got it i,25
3,have,31,i have,29,i got it,24
4,okay,22,it i,26,got it okay,14
5,then,18,it okay,14,okay got it,9
6,like,14,think i,11,think i got,9
7,think,13,i think,11,it i have,9
8,with,12,okay i,10,i think i,9
9,ok,11,okay got,9,it okay i,8
10,that,10,yeah i,7,it i got,8
11,guy,10,ok got,6,ok got it,5
12,yeah,10,upside down,6,got it yeah,5
13,its,9,it ok,5,got it ok,5
14,right,9,it yeah,5,it okay got,5
15,thats,8,then i,4,it yeah i,4
16,one,8,got that,4,okay i have,3
17,cool,8,legs spread,3,legs spread apart,3
18,triangle,8,flying bird,3,then i have,3
19,down,7,right i,3,it ok got,3
