,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,113,i have,80,then i have,13
1,have,92,upside down,20,have upside down,7
2,then,57,then i,14,loch ness monster,7
3,like,32,looks like,9,i have upside,6
4,down,30,ness monster,7,sailboat i have,6
5,with,27,have upside,7,i have sailboat,6
6,triangle,27,loch ness,7,duck with two,4
7,to,20,i got,6,with two feet,4
8,guy,20,sailboat i,6,i have guy,4
9,upside,20,have sailboat,6,i have triangle,4
10,sailboat,18,have triangle,6,i have duck,4
11,dog,17,to left,6,ram i have,4
12,right,15,triangle guy,5,i have fish,3
13,one,15,have duck,5,square body guy,3
14,that,14,with two,5,i have dog,3
15,is,13,i dont,5,okay i have,3
16,looks,13,have guy,5,two feet i,3
17,or,12,christmas tree,5,bird with really,3
18,an,12,flying bird,5,then sideways sailboat,3
19,it,11,going to,4,with really big,3
