,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,78,got it,70,it got it,43
1,it,73,it got,44,got it got,43
2,then,16,i got,11,got it i,7
3,i,14,it i,7,it i got,6
4,with,9,yep got,4,yep got it,4
5,down,6,it yep,4,it yep got,4
6,is,5,one is,4,got it yep,4
7,guy,5,legs then,3,i got it,4
8,one,5,i think,3,gotcha got it,3
9,right,4,it gotcha,3,it gotcha got,3
10,yep,4,gotcha got,3,got it gotcha,3
11,than,3,upside down,3,all right i,2
12,all,3,all right,3,no legs then,2
13,think,3,with its,2,legs then duck,2
14,second,3,then duck,2,then duck with,2
15,upside,3,is upside,2,one is upside,2
16,its,3,no legs,2,is upside down,2
17,triangle,3,holding triangle,2,right got it,2
18,legs,3,right got,2,right i got,2
19,gotcha,3,it still,2,with no legs,2
