,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,344,i have,243,then i have,27
1,have,249,upside down,57,okay i have,19
2,then,171,i got,54,loch ness monster,16
3,with,119,flying bird,40,i have guy,15
4,got,110,then i,34,it looks like,11
5,triangle,97,looks like,28,an upside down,10
6,like,91,okay i,25,i have dog,10
7,down,88,rocket ship,24,i have an,9
8,guy,82,loch ness,21,big flying bird,9
9,one,78,got it,20,right side up,7
10,it,67,ness monster,16,i dont know,7
11,dog,64,third one,15,then i got,7
12,upside,57,have guy,15,sailboat i have,7
13,bird,52,one is,15,flying bird i,7
14,sailboat,50,to left,15,i have triangle,7
15,okay,49,with its,12,i have duck,6
16,flying,48,have dog,11,going to left,6
17,an,45,triangle body,11,half christmas tree,6
18,on,44,it looks,11,i got it,6
19,boat,43,an upside,10,i have ram,6
