,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,34,i have,31,an upside down,5
1,have,31,upside down,6,flying bird i,3
2,with,10,an upside,5,bird i have,3
3,person,9,flying bird,4,flamingo i have,3
4,um,8,flamingo i,3,it i have,3
5,an,8,bird i,3,i have an,3
6,down,7,have an,3,i have person,3
7,then,6,handkerchief lady,3,upside down flamingo,2
8,upside,6,have person,3,i have sideways,2
9,flamingo,5,it i,3,i have dog,2
10,two,5,with two,3,i have duck,2
11,lady,5,sailboat barn,2,have an upside,2
12,sailboat,5,up i,2,coming out of,2
13,sideways,5,have sideways,2,have person with,2
14,dog,5,down flamingo,2,chicken um an,1
15,bird,5,got it,2,um an upside,1
16,it,4,have dog,2,have big chicken,1
17,got,4,coming out,2,big chicken um,1
18,or,4,then regular,2,flamingo lochness sea,1
19,shark,4,out of,2,i have big,1
