,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,36,i have,24,then i have,8
1,have,24,ive got,11,loch ness monster,4
2,got,24,upside down,9,lady in dress,3
3,then,19,then i,8,triangle chest person,2
4,person,17,i got,8,upside down doing,2
5,with,13,flying bird,6,down doing splits,2
6,down,12,in dress,4,cat face then,2
7,ive,12,ness monster,4,i have dog,2
8,lady,10,loch ness,4,i have flying,2
9,flying,9,got fish,3,flying bird loch,2
10,upside,9,triangle chest,3,ive got sailboat,2
11,dog,8,lady in,3,bird loch ness,2
12,bird,8,an apple,3,ive got fish,2
13,an,7,christmas tree,3,got fish an,2
14,big,7,person person,2,right side up,2
15,in,7,two feet,2,with two feet,2
16,like,6,with two,2,duck with two,2
17,sideways,5,duck with,2,that looks like,2
18,thing,5,with tail,2,think you said,2
19,triangle,5,in coffin,2,i think you,2
