,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,153,i have,105,okay i have,15
1,have,110,i got,31,loch ness monster,12
2,then,83,upside down,20,then i have,8
3,with,63,okay i,18,i have an,6
4,got,53,ive got,14,kind of looks,5
5,like,50,flying bird,13,of looks like,5
6,down,32,loch ness,13,i have guy,5
7,it,30,looks like,13,i have flying,5
8,okay,30,then i,12,have flying bird,5
9,sailboat,29,ness monster,12,ok i have,5
10,boat,26,with two,10,okay ive got,5
11,bird,25,kind of,8,an upside down,5
12,is,23,ok i,7,i have arrow,4
13,this,23,got it,7,i dont know,4
14,on,22,boat with,7,i have dog,4
15,one,22,have an,6,i have pot,4
16,that,21,christmas tree,6,i have sailboat,4
17,upside,20,with like,6,half christmas tree,4
18,an,20,one is,6,i have big,4
19,of,19,have guy,6,on one leg,3
