,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,80,got it,74,it got it,49
1,it,77,it got,49,got it got,48
2,i,31,i got,22,got it i,16
3,then,19,it i,16,i got it,16
4,with,9,i have,7,it i got,10
5,down,8,upside down,6,it i have,5
6,have,8,okay i,5,it okay i,5
7,like,8,it okay,5,okay i got,5
8,upside,6,first one,3,got it okay,5
9,duck,6,one is,3,got it my,3
10,my,5,down then,3,going down then,2
11,okay,5,it my,3,it my first,2
12,one,4,with two,3,my first one,2
13,is,4,person like,2,first one is,2
14,first,3,i think,2,then i have,2
15,legs,3,duck with,2,i think i,2
16,boat,3,right side,2,think i got,2
17,that,3,then i,2,i got i,2
18,of,3,think i,2,got i got,2
19,right,3,got that,2,i got that,2
