,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,294,got it,268,got it got,146
1,it,279,it got,147,it got it,144
2,i,130,i got,82,i got it,77
3,then,89,it i,70,got it i,70
4,like,47,i have,33,it i got,46
5,have,34,it okay,26,got it okay,26
6,okay,29,okay i,22,it i have,23
7,boat,22,got got,14,it okay i,21
8,triangle,18,upside down,10,okay i got,18
9,with,18,i think,8,think i got,8
10,person,16,think i,8,i think i,8
11,in,15,has like,7,loch ness monster,6
12,thing,13,loch ness,6,got got it,6
13,right,13,then person,6,thing got it,4
14,top,12,triangle body,6,okay i think,4
15,down,12,then boat,6,i have boat,4
16,of,11,boat then,6,it ok i,4
17,to,11,ness monster,6,okay got it,4
18,has,11,person with,5,got it ok,4
19,upside,10,arrow pointing,5,person with triangle,3
