,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,272,i have,116,then i have,20
1,got,138,i got,96,i got this,16
2,have,125,upside down,30,yo i got,10
3,like,80,then i,26,an upside down,8
4,then,61,got it,25,it i have,8
5,it,60,looks like,19,loch ness monster,8
6,you,59,got this,18,man i got,7
7,that,47,flying bird,16,got it i,7
8,is,47,you know,14,upside down flamingo,6
9,down,42,i think,11,i think i,5
10,this,37,it i,11,bird i have,5
11,bird,35,yo i,10,i have an,5
12,to,33,man i,9,hey man i,5
13,boat,33,on his,8,then i got,5
14,upside,30,loch ness,8,two nacho bowl,5
15,thing,30,an upside,8,i got like,5
16,flamingo,29,ness monster,8,i have like,4
17,on,29,bird i,8,i dont know,4
18,one,29,i dont,7,who does that,4
19,of,28,one is,7,flying bird i,4
