,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,267,i got,118,it got it,43
1,got,243,got it,107,got it got,43
2,it,132,i have,105,then i got,22
3,then,118,it got,44,i got it,18
4,have,114,then i,40,then i have,15
5,with,66,upside down,38,got it i,15
6,down,58,okay i,21,loch ness monster,13
7,like,55,it i,19,okay i got,11
8,upside,38,all right,19,got it okay,10
9,okay,34,ive got,19,it i have,8
10,triangle,33,flying bird,19,all right i,8
11,that,33,ness monster,13,okay i have,7
12,to,32,loch ness,13,it i got,7
13,person,31,i think,11,i got that,7
14,right,31,right i,11,an upside down,7
15,on,30,speed boat,10,it okay i,6
16,bird,29,it okay,10,got it all,5
17,an,29,with two,8,got an upside,5
18,one,29,got that,8,lady in dress,5
19,you,27,looks like,7,mess of shapes,5
