,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,160,got it,96,got it got,38
1,i,128,i got,61,it got it,33
2,it,109,i have,49,got it i,18
3,then,60,it got,38,it i got,13
4,have,51,upside down,28,got it okay,11
5,one,33,it i,18,i got it,9
6,down,32,then i,18,then i got,8
7,upside,28,it okay,11,it alright i,7
8,with,28,alright i,9,have upside down,6
9,triangle,24,then its,7,alright i got,6
10,like,19,last one,7,i have upside,6
11,to,19,okay i,7,then i have,6
12,on,17,it alright,7,got it alright,6
13,okay,15,weird shape,6,it i have,5
14,that,15,to left,6,it looks like,4
15,no,15,have upside,6,it got you,4
16,its,15,yeah i,6,cake cake cake,4
17,sailboat,13,one is,6,whole bunch of,4
18,alright,13,so i,6,one got it,4
19,you,13,holding triangle,6,running to left,4
