,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,180,i have,76,so i got,10
1,i,147,i got,49,then i have,10
2,like,102,one is,36,so i have,9
3,one,93,upside down,34,second one is,9
4,have,77,so i,19,last one is,9
5,got,67,looks like,18,third one is,9
6,is,64,then i,17,all right i,8
7,triangle,53,third one,16,one is like,7
8,its,49,last one,15,on one foot,7
9,down,47,then its,14,heads closer to,6
10,with,43,first one,13,an upside down,6
11,right,38,all right,12,then last one,6
12,upside,35,kind of,12,of looks like,6
13,of,31,its like,11,kind of looks,6
14,it,30,second one,11,my top one,6
15,so,30,top one,11,then third one,6
16,on,25,is like,11,okay so i,5
17,that,23,holding triangle,11,i dont know,5
18,my,23,right i,10,standing on one,5
19,or,22,with triangle,9,it has like,5
