,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,266,got it,203,got it got,118
1,it,227,it got,118,it got it,114
2,i,173,i have,71,got it i,20
3,have,74,i got,60,i got it,18
4,then,52,then i,22,then i have,16
5,like,37,it i,22,got it okay,14
6,okay,32,upside down,15,okay got it,9
7,that,31,it okay,14,okay i have,7
8,down,26,okay i,13,it i have,7
9,with,24,i think,12,i have an,7
10,to,21,got that,11,i think i,7
11,yeah,17,okay got,11,it i got,7
12,going,17,have an,8,i got that,6
13,triangle,16,going to,8,it okay got,6
14,of,15,looks like,7,think i got,6
15,upside,15,think i,7,that got it,6
16,an,14,i dont,6,it okay i,5
17,dog,14,hold on,6,loch ness monster,5
18,on,14,that got,6,okay i got,5
19,ok,14,christmas tree,6,done got it,5
