,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,603,i have,298,then i have,44
1,have,318,i got,189,all right i,21
2,got,298,upside down,83,so i got,18
3,then,275,then i,61,an upside down,16
4,like,172,looks like,50,i got this,14
5,with,138,flying bird,43,okay i have,14
6,down,137,one is,40,it looks like,13
7,is,124,ive got,34,i have this,12
8,one,121,so i,31,right i have,12
9,it,114,all right,29,first one is,12
10,that,96,got it,26,loch ness monster,11
11,its,95,okay i,25,then i got,11
12,bird,93,then its,23,so i have,11
13,upside,84,first one,22,right side up,11
14,to,83,right i,21,i have an,11
15,you,80,i dont,19,okay i got,10
16,of,79,palm tree,18,right i got,9
17,boat,77,got this,18,out of it,9
18,triangle,76,last one,17,i dont know,9
19,on,75,bird flying,16,i have flying,9
