,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,389,one is,165,first one is,62
1,one,282,first one,81,my first one,33
2,is,235,upside down,72,third one is,29
3,like,222,i have,53,second one is,29
4,i,144,i got,52,last one is,28
5,with,140,last one,51,okay i have,21
6,got,123,got it,50,then last one,19
7,down,123,second one,49,one is like,17
8,my,120,my first,38,then upside down,16
9,it,120,third one,38,my last one,16
10,first,106,looks like,36,loch ness monster,12
11,triangle,86,okay i,27,it got it,11
12,its,81,then my,24,got it got,11
13,on,81,then like,24,upside down flamingo,11
14,upside,72,then last,23,my top one,10
15,second,70,is like,23,dog with square,10
16,last,63,down then,22,kind of looks,10
17,in,62,kind of,21,of looks like,10
18,have,61,my second,20,then my last,10
19,okay,56,my third,19,left hand corner,10
