,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,then,385,i got,112,all right i,48
1,i,273,i have,102,right i got,29
2,got,151,all right,87,all right so,26
3,right,120,upside down,63,so i got,25
4,like,118,right i,52,right i have,22
5,have,111,then its,45,okay i got,21
6,one,111,looks like,42,okay so i,15
7,down,98,so i,37,then last one,15
8,all,94,okay i,33,right so i,14
9,its,93,last one,31,whole bunch of,13
10,with,89,one is,30,it looks like,11
11,triangle,83,right so,26,first one is,11
12,so,79,first one,23,lady in dress,11
13,is,79,flying bird,22,so i have,11
14,to,76,okay so,20,then i have,11
15,bird,68,in dress,18,okay i have,10
16,okay,66,then last,17,flying bird then,10
17,upside,63,rocket ship,17,alright i have,9
18,it,61,then i,17,have upside down,9
19,that,59,bird then,16,i have upside,9
