,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,371,i have,199,then i have,65
1,then,218,i got,99,i have this,19
2,have,215,then i,80,an upside down,19
3,got,157,upside down,68,okay i have,18
4,like,136,okay i,32,then i got,13
5,down,119,ive got,27,okay i got,12
6,with,107,flying bird,25,it looks like,12
7,this,81,looks like,24,i dont know,11
8,to,77,to left,20,i have bird,9
9,it,73,have this,19,loch ness monster,9
10,bird,70,an upside,19,i have triangle,9
11,upside,68,bird with,18,ive got this,9
12,one,64,got this,17,have bird with,8
13,triangle,61,with like,16,i have like,8
14,okay,61,to right,16,i have sideways,8
15,is,58,going to,15,on one foot,8
16,flying,56,bird flying,15,right side up,7
17,right,50,it looks,14,i got this,7
18,dog,48,one is,14,i have an,7
19,that,47,i dont,14,upside down sailboat,7
