,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,i,460,i have,406,okay i have,66
1,have,426,okay i,71,then i have,52
2,then,266,flying bird,62,loch ness monster,48
3,like,201,then i,56,i have an,26
4,with,164,upside down,52,ok i have,24
5,okay,113,ness monster,48,i have like,20
6,guy,110,loch ness,48,going to left,19
7,to,104,going to,37,going to right,15
8,triangle,96,looks like,36,an upside down,13
9,down,94,to left,32,i have ram,12
10,sailboat,92,kind of,29,have flying bird,11
11,going,91,rocket ship,29,i have guy,11
12,it,89,to right,28,i have sailboat,11
13,bird,85,ok i,26,of looks like,10
14,an,84,have an,26,it looks like,10
15,one,79,got it,25,down i have,10
16,flying,70,triangle body,24,kind of looks,10
17,on,68,an arrow,20,with long tail,10
18,is,67,have like,20,have an arrow,10
19,its,63,christmas tree,18,an arrow going,9
