,1-Gram,Occurence,2-Gram,Occurence,3-Gram,Occurence
0,got,279,got it,241,got it got,155
1,it,259,it got,157,it got it,155
2,i,109,i got,46,i got it,23
3,have,31,i have,29,got it okay,19
4,okay,31,it okay,19,got it i,17
5,that,27,it i,18,okay got it,12
6,then,24,okay got,15,it okay got,10
7,like,15,got that,14,it i got,8
8,yeah,13,i think,9,i got that,8
9,with,12,then i,9,that got it,6
10,ok,11,okay i,8,then i have,6
11,cool,10,yeah i,6,done got it,6
12,done,10,think i,6,i think i,6
13,you,9,done got,6,it okay i,5
14,to,9,that got,6,got it done,5
15,thats,9,upside down,5,think i got,5
16,think,9,it done,5,okay i got,4
17,down,9,it ok,5,loch ness monster,4
18,flamingo,8,ness monster,4,it done got,4
19,ive,8,looks like,4,got that got,4
